Quadro,Min_Val,Max_Val
frame_0114.png,-21741414.0,35965724.0
frame_0115.png,-21743670.0,36090940.0
frame_0116.png,-21735696.0,36198896.0
frame_0117.png,-21765884.0,36297424.0
frame_0118.png,-21752152.0,36420412.0
frame_0119.png,-21764258.0,36500028.0
frame_0120.png,-21766870.0,36518056.0
frame_0121.png,-21775938.0,36589940.0
frame_0122.png,-21778858.0,36610784.0
frame_0123.png,-21758124.0,36601820.0
frame_0124.png,-21757928.0,36626232.0
frame_0125.png,-21744094.0,36684932.0
frame_0126.png,-21733662.0,36813056.0
frame_0127.png,-21722012.0,36906308.0
frame_0128.png,-21741612.0,36958932.0
frame_0129.png,-21719854.0,36958804.0
frame_0130.png,-21726448.0,36776956.0
frame_0131.png,-21712830.0,36750560.0
frame_0132.png,-21706366.0,36871468.0
frame_0133.png,-21697430.0,37023604.0
frame_0134.png,-21698000.0,37082808.0
frame_0135.png,-21695352.0,37103776.0
frame_0136.png,-21718260.0,37130300.0
frame_0137.png,-21706316.0,37104072.0
frame_0138.png,-21704886.0,37150936.0
frame_0139.png,-21713062.0,37232268.0
frame_0140.png,-21738830.0,37319220.0
frame_0141.png,-21759612.0,37497180.0
frame_0142.png,-21728936.0,37669244.0
frame_0143.png,-21728694.0,37748548.0
frame_0144.png,-21713190.0,37857568.0
frame_0145.png,-21718804.0,37963480.0
frame_0146.png,-21729780.0,38001968.0
frame_0147.png,-21699470.0,37997320.0
frame_0148.png,-21719838.0,37961708.0
frame_0149.png,-21723846.0,37946224.0
frame_0150.png,-21751528.0,38057280.0
frame_0151.png,-21746206.0,38231788.0
frame_0152.png,-21731452.0,38329708.0
frame_0153.png,-21744970.0,38435956.0
frame_0154.png,-21760210.0,38392684.0
frame_0155.png,-21778236.0,38346752.0
frame_0156.png,-21851850.0,38331760.0
frame_0157.png,-21839288.0,38408848.0
frame_0158.png,-21845502.0,38453116.0
frame_0159.png,-21896544.0,38343092.0
frame_0160.png,-21924816.0,38226864.0
frame_0161.png,-21909506.0,38128220.0
frame_0162.png,-21933312.0,37942520.0
frame_0163.png,-21960684.0,37767012.0
frame_0164.png,-21891350.0,37596384.0
frame_0165.png,-21925204.0,37270664.0
frame_0166.png,-21869178.0,36771832.0
frame_0167.png,-21791706.0,36291724.0
frame_0168.png,-21729620.0,35700604.0
frame_0169.png,-21644958.0,35462452.0
frame_0170.png,-21614412.0,35434092.0
frame_0171.png,-21592272.0,35415644.0
frame_0172.png,-21557408.0,35486632.0
frame_0173.png,-21396692.0,35600376.0
frame_0174.png,-21197294.0,35548664.0
frame_0175.png,-21257950.0,35997900.0
frame_0176.png,-21218970.0,36244024.0
frame_0177.png,-21181072.0,36427316.0
frame_0178.png,-21121012.0,36527100.0
frame_0179.png,-21067694.0,36514424.0
frame_0180.png,-21078800.0,36586368.0
frame_0181.png,-21007994.0,36724940.0
frame_0182.png,-20949154.0,36835332.0
frame_0183.png,-20855346.0,36983432.0
frame_0184.png,-20845428.0,37154692.0
frame_0185.png,-20760912.0,37264268.0
frame_0186.png,-20731482.0,37386212.0
frame_0187.png,-20713094.0,37526268.0
frame_0188.png,-20647210.0,37621612.0
frame_0189.png,-20591730.0,37736916.0
frame_0190.png,-20521850.0,37827828.0
frame_0191.png,-20475018.0,37898060.0
frame_0192.png,-20490266.0,38073736.0
frame_0193.png,-20505990.0,38206824.0
frame_0194.png,-20526228.0,38332884.0
frame_0195.png,-20568406.0,38585976.0
frame_0196.png,-20529442.0,38591108.0
frame_0197.png,-20583888.0,38805976.0
frame_0198.png,-20672204.0,39143116.0
frame_0199.png,-20507602.0,39036152.0
frame_0200.png,-20545180.0,39198100.0
frame_0201.png,-20707024.0,39628212.0
frame_0202.png,-20575548.0,39568844.0
frame_0203.png,-20615690.0,39578188.0
frame_0204.png,-20590210.0,39572292.0
frame_0205.png,-20579238.0,39545020.0
frame_0206.png,-20551304.0,39561468.0
frame_0207.png,-20614172.0,39516072.0
frame_0208.png,-20615766.0,39523156.0
frame_0209.png,-20563500.0,39535080.0
frame_0210.png,-20538400.0,39512620.0
frame_0211.png,-20573866.0,39583244.0
frame_0212.png,-20633970.0,39655276.0
frame_0213.png,-20667234.0,39686624.0
frame_0214.png,-20706588.0,39870100.0
frame_0215.png,-20708548.0,39890156.0
frame_0216.png,-20676202.0,39740220.0
frame_0217.png,-20716440.0,39764896.0
frame_0218.png,-20782882.0,39942312.0
frame_0219.png,-20741514.0,39855756.0
frame_0220.png,-20776006.0,40013644.0
frame_0221.png,-20465986.0,40300536.0
frame_0222.png,-19800112.0,40254260.0
frame_0223.png,-19374708.0,40354300.0
frame_0224.png,-19225742.0,40489440.0
frame_0225.png,-19097394.0,40303820.0
frame_0226.png,-18970140.0,40095184.0
frame_0227.png,-18864692.0,39986272.0
frame_0228.png,-18825084.0,39899568.0
frame_0229.png,-18793572.0,39885848.0
frame_0230.png,-18741490.0,39947720.0
frame_0231.png,-18683824.0,40022744.0
frame_0232.png,-18645406.0,39960508.0
frame_0233.png,-18671256.0,40066248.0
frame_0234.png,-18617726.0,39979036.0
frame_0235.png,-18455850.0,39936220.0
frame_0236.png,-18288322.0,39935888.0
frame_0237.png,-18267566.0,39970396.0
frame_0238.png,-18212484.0,39932724.0
frame_0239.png,-18216080.0,39840556.0
frame_0240.png,-18239492.0,39837052.0
frame_0241.png,-18210948.0,39759904.0
frame_0242.png,-18260130.0,39725648.0
frame_0243.png,-18287600.0,39647924.0
frame_0244.png,-18416678.0,39689908.0
frame_0245.png,-18410172.0,39502164.0
frame_0246.png,-18229938.0,39002528.0
frame_0247.png,-18100030.0,38920356.0
frame_0248.png,-18022134.0,38781524.0
frame_0249.png,-18082090.0,38541956.0
frame_0250.png,-18058106.0,38416776.0
frame_0251.png,-17961640.0,38429844.0
frame_0252.png,-18016142.0,38535360.0
frame_0253.png,-18154162.0,38616600.0
frame_0254.png,-18287118.0,38806724.0
frame_0255.png,-18431040.0,39067172.0
frame_0256.png,-18474984.0,39082948.0
frame_0257.png,-18551402.0,39128556.0
frame_0258.png,-18683284.0,39142728.0
frame_0259.png,-18793600.0,39181336.0
frame_0260.png,-18861812.0,39365224.0
frame_0261.png,-18885554.0,39307480.0
frame_0262.png,-18884740.0,39110888.0
frame_0263.png,-18957376.0,39379368.0
frame_0264.png,-19108252.0,39407912.0
frame_0265.png,-19232954.0,39657328.0
frame_0266.png,-19522260.0,40557500.0
frame_0267.png,-19673138.0,41084548.0
frame_0268.png,-19730846.0,41139496.0
frame_0269.png,-19867372.0,41529696.0
frame_0270.png,-20020562.0,41961624.0
frame_0271.png,-20187038.0,42397592.0
frame_0272.png,-20202044.0,42055324.0
frame_0273.png,-20294874.0,42308044.0
frame_0274.png,-20545464.0,43021348.0
frame_0275.png,-20468182.0,42759928.0
frame_0276.png,-20479370.0,42841964.0
frame_0277.png,-20546080.0,42929228.0
frame_0278.png,-20543654.0,43137744.0
frame_0279.png,-20537522.0,43281760.0
frame_0280.png,-20476560.0,42864472.0
frame_0281.png,-20345468.0,43021236.0
frame_0282.png,-20246208.0,43087112.0
frame_0283.png,-20089190.0,43128736.0
frame_0284.png,-20021762.0,43144192.0
frame_0285.png,-20082458.0,43811832.0
frame_0286.png,-19877962.0,43963120.0
frame_0287.png,-20096136.0,44561408.0
frame_0288.png,-20870746.0,44814372.0
frame_0289.png,-21287554.0,44759720.0
frame_0290.png,-21216770.0,44797596.0
frame_0291.png,-21549752.0,44991976.0
frame_0292.png,-21601010.0,45326664.0
frame_0293.png,-21678916.0,45305044.0
